stock_a,stock_b,correlation,sector,coint_pvalue,coint_stat,ratio_mean,ratio_std,current_ratio
BAC,IVV,0.6000765094706209,BAC-IVV,0.00010220760408688672,-5.111390438425227,0.07245084785330276,0.0036913412710159674,0.07783555420831621
SPY,IVV,0.9982113048931429,SPY-IVV,9.24501945203786e-24,-13.242441935929577,0.9959154280578929,0.0006293393155299167,0.9949204988240532
GLD,IAU,0.999601642823886,GLD-IAU,0.0009955699294048601,-4.554361621304804,4.890358428485378,0.004438373919143979,4.881340385789291
BRK-B,BRK-A,0.9710751014172107,BRK-B-BRK-A,0.01003715628847946,-3.8962829076411327,0.0006649389139545711,3.0771157833794495e-06,0.0006675119079577969
